match_id,date,season,competition_id,competition,venue_id,venue,city_played,home_team,away_team,home_team_id,away_team_id,completed,is_tournament,played_on_grass,attendance,home_team_form,away_team_form,referee,kickoff_time,home_score,away_score
1ee778df,20231118,2023.0,50e6935b,United Rugby Championship,005f01cc,Rodney Parade,Newport,Dragons,Ospreys,973ef5cc,5fa975a5,True,True,True,,WLWWL,WWLWW,,16:00,20.0,5.0
114bfa1b,20230414,2023.0,2c3df351,Gallagher Prem,a038d7a1,Ashton Gate,Bristol,Bristol Rugby,Sale Sharks,47d5fe17,d7d74d92,True,True,True,,WWWWW,LWLWL,,16:00,20.0,36.0
396adf9f,20230224,2023.0,bc5d9ec5,Super Rugby Pacific,64880613,Go Media Stadium,Auckland,Moana Pasifika,Fijian Drua,ef5d2d5d,b8b8b698,True,True,True,,LLWWW,LWLWL,,,,
8ede57cb,20240302,2024.0,2f0de05a,French Top 14,38b13c0e,Stade Ernest-Wallon,Toulouse,Stade Toulousain,Castres Olympique,94b39f65,a9650c97,True,True,True,,WWLWW,WLWLW,,16:00,33.0,6.0
54ad08cf,20220219,2022.0,50e6935b,United Rugby Championship,b4d7acb3,RDS Arena,Dublin,Leinster,Ospreys,1ebc0e7a,5fa975a5,True,True,True,,WWWWW,WWLWW,,16:00,29.0,7.0
03f5bcc1,20230624,2023.0,50e6935b,World Rugby U20 Championship,75d79b3c,Paarl Gimnasium,,Argentina U20,Italy U20,24c0c93d,66f91b55,True,,,,,,,16:00,43.0,15.0
d353fa3e,20231202,2023.0,2f0de05a,French Top 14,31ba2047,Stade Pierre Fabre,Castres,Castres Olympique,Lyon,a9650c97,1cbf55bf,True,True,True,,WLWLW,LLLLL,,16:00,29.0,14.0
57fae093,20240316,2024.0,23df32a1,International Test Match,2b94a245,Stadion Stjepan Spajic,Zagreb,Croatia,Lithuania,843f5d71,88e2113d,True,False,True,,LTWLL,LLLLW,,,,
783c4fc0,20220903,2022.0,814f16bc,Mitre 10 Cup,6fc42e43,Forsyth Barr Stadium,Dunedin,Otago,Bay of Plenty,140c0f3f,d990d095,True,True,True,,LWWWW,LWWWW,,,,
0dda3cb8,20240817,2024.0,814f16bc,Mitre 10 Cup,423cec29,McLean Park,Napier,Hawke's Bay,Southland,ea0e6b6c,9d4b9a14,True,True,True,,LWWWL,LLLLL,,16:00,31.0,17.0
0acd3147,20241019,2024.0,50e6935b,United Rugby Championship,dc1f5389,Dexcom Stadium,Galway,Connacht,Leinster,6f5af01b,1ebc0e7a,True,True,True,,LLWLW,WWWWW,,16:00,12.0,33.0
4075a673,20220423,2022.0,bc5d9ec5,Super Rugby Pacific,755a20db,AAMI Park,Melbourne,Blues,Fijian Drua,79c81be4,b8b8b698,True,True,True,,LWWLW,LWLWL,,16:00,35.0,18.0
8bc7f2df,20220326,2022.0,2f0de05a,French Top 14,0b678654,Stade du Hameau,Pau,Pau,Perpignan,73e02b8e,0120f1b3,True,True,True,,WWLLW,LWLWL,,16:00,27.0,22.0
92b948d8,20241012,2024.0,2f0de05a,French Top 14,d2326e74,Septeo Stadium,Montpellier,Montpellier Herault,Vannes,b6f40da2,34149c5c,True,True,True,,LWWWW,LLLLW,,,,
4463fd83,20221001,2022.0,2f0de05a,French Top 14,54577b9e,Stade Marcel-Deflandre,La Rochelle,La Rochelle,Racing 92,9aa9df8a,2e49b214,True,True,True,,LWLWL,WTTLL,,16:00,24.0,19.0
5fe65460,20220326,2022.0,2f0de05a,French Top 14,5846a1e5,Stade Mayol,Toulon,Toulon,Clermont Auvergne,30ad8a8a,388e620c,True,True,True,,WLWLW,WLLLW,,16:00,32.0,22.0
665c1c2b,20250208,2025.0,d7c59c8c,Japan Rugby League One,9b1737ae,in Iwata,,Blackrams Tokyo,Shizuoka Bluerevs,31781a9e,5a371639,True,,,,,,,14:30,24.0,32.0
6aa38eaa,20240126,2024.0,0f8b619e,Sevens,90fa9588,Unknown,,New Zealand 7s Mens,Samoa 7s Mens,4b686f8d,5bb29c36,True,,,,,,,16:00,17.0,12.0
01c3c322,20220211,2022.0,df0639c9,U20 Six Nations,4535377b,Stade Maurice David,,France U20,Ireland U20,29c8e3d4,ace6a25f,True,,,,,,,16:00,16.0,17.0
1cf68bf4,20231125,2023.0,50e6935b,United Rugby Championship,59853120,Scotstoun Stadium,Glasgow,Glasgow Warriors,Ulster,6f08f859,0aa2b3cc,True,True,True,,WWWWL,WWLLW,,16:00,33.0,20.0
22837577,20240316,2024.0,0ab9177f,Major League Rugby,6806b505,Veterans Memorial Stadium,,New England Free Jacks,Nola Gold,f11abcf7,b59edee8,True,False,True,,WWWWW,LLLLL,,,,
f8ebab3d,20240505,2024.0,0f8b619e,Sevens,90fa9588,Unknown,,Australia 7s Womens,France 7s Womens,0fdc82bd,ea5b3860,True,,,,,,,16:00,19.0,12.0
3cf7c679,20250621,2025.0,0ab9177f,Major League Rugby,26a0e8fd,Zions Bank Stadium,,Utah Warriors,Houston SaberCats,5c348669,6fd831fc,True,False,True,,LWWWW,LWWWL,,,,
ea19f79b,20251031,2025.0,822142db,Pro D2,72b48a7a,Stade de la Rabine,,Valence Romans,Vannes,791d6c23,34149c5c,True,,,,,,,14:30,64.0,10.0
7e2dcd68,20230826,2023.0,23df32a1,International Test Match,ebecc9b6,Allianz Stadium,London,England,Fiji,f11abcf7,b8b8b698,True,False,True,,WWWWW,WLLWW,,,,
b09b84f9,20220605,2022.0,2f0de05a,French Top 14,18794a69,Stade Jean Bouin,Paris,Stade Francais Paris,Brive,247cd1a2,d5468acc,True,True,True,,LTWWL,LLWWL,,16:00,17.0,33.0
5e0e1421,20250329,2025.0,0ab9177f,Major League Rugby,1f6780d8,Wallis Annenberg Stadium,Los Angeles,RFCLA,Old Glory DC,c8cdc810,c674b423,True,False,True,,LLWWW,LLLWW,,,,
425f9b83,20221106,2022.0,23df32a1,International Test Match,52704f0a,The Sevens,Dubai,United States of America,Kenya,af1c29a7,4e17799b,True,False,True,,WLLWL,WWLLW,,,,
689d476f,20240504,2024.0,0f8b619e,Sevens,90fa9588,Unknown,,Brazil 7s Womens,Usa 7s Womens,b9f09c6b,0fdc82bd,True,,,,,,,16:00,33.0,0.0
73a945c3,20240629,2024.0,622e1591,URBA Top 12,90fa9588,Unknown,,Newman,CASI,39f4260d,e89f2930,True,False,,,WWWLW,LLWWW,,,,
681719b0,20220716,2022.0,622e1591,URBA Top 12,90fa9588,Unknown,,B.A.C.R.C.,Newman,b9120e6d,39f4260d,True,False,,,WLWLL,WWWLW,,,,
271ff2e0,20250914,2025.0,bc5d9ec5,Pacific Nations Cup,e2f8b492,Dick's Sporting Goods Park,,Samoa,Usa,1f7801a5,1a0391e6,True,,,,,,,14:30,13.0,29.0
eb768aa8,20221119,2022.0,23df32a1,International Test Match,53616aa2,Stadionul National Arcul de Triumf,Bucharest,Tonga,Uruguay,626c3851,8181d2d0,True,False,True,,LWLLW,WWLWW,,,,
056bfe44,20240601,2024.0,0f8b619e,Sevens,90fa9588,Unknown,,Argentina 7s Womens,Belgium 7s Womens,d74e7dfb,5f7ab54f,True,,,,,,,16:00,19.0,14.0
8a4701c2,20240608,2024.0,23df32a1,International Test Match,f53fe653,Philip Marcellin Grounds,Vieux Fort,Saint Lucia,Barbados,32b285a3,a2e62d5b,True,False,True,,L,LWWWL,,,,
86b998c2,20231014,2023.0,83d92007,Rugby World Cup,126b1502,Orange Velodrome,Marseille,Wales,Argentina,b6319444,24c0c93d,True,True,True,,LLWLW,LWWLL,,16:00,17.0,29.0
a7d8f44d,20241207,2024.0,ee0c6883,European Rugby Champions Cup,36e5b839,Stade Marcel Michelin,Clermont-Ferrand,Clermont Auvergne,Benetton Treviso,388e620c,af0bb046,True,True,True,,WLLLW,WWWWL,,16:00,28.0,0.0
0963449f,20250831,2025.0,679f8455,Bunnings Npc,ffc07714,Porirua Park,,Auckland,Wellington,547c84c6,efc79707,True,,,,,,,14:30,36.0,17.0
f4406b0b,20240512,2024.0,2f0de05a,French Top 14,38b13c0e,Stade Ernest-Wallon,Toulouse,Stade Toulousain,Stade Francais Paris,94b39f65,247cd1a2,True,True,True,,WWLWW,LTWWL,,16:00,49.0,18.0
16369a3b,20250322,2025.0,0ab9177f,Major League Rugby,0692abfa,American Legion Memorial Stadium,,Anthem Rugby Carolina,Houston SaberCats,a82abc99,6fd831fc,True,False,True,,LLLLL,LWWWL,,,,
9822c7aa,20240101,2024.0,50e6935b,United Rugby Championship,005f01cc,Rodney Parade,Newport,Dragons,Scarlets,973ef5cc,0e10c257,True,True,True,,WLWWL,LLWLL,,16:00,13.0,12.0
5948942e,20240414,2024.0,0ab9177f,Major League Rugby,8b6e8c8f,Snapdragon Stadium ,San Diego,San Diego Legion,Nola Gold,4ae716d2,b59edee8,True,False,True,,WLLLW,LLLLL,,,,
0c62ba41,20230701,2023.0,622e1591,URBA Top 12,90fa9588,Unknown,,San Luis,La Plata Rugby Club,4bbb4db8,2700f87a,True,False,,,LLLWW,LLLWL,,,,
d868ecdf,20230506,2023.0,2c3df351,Gallagher Prem,a038d7a1,Ashton Gate,Bristol,Bristol Rugby,Gloucester Rugby,47d5fe17,59c67efa,True,True,True,,WWWWW,LLLLW,,16:00,36.0,21.0
2779bc13,20241213,2024.0,822142db,Pro D2,7b3f48fe,Stade du Pre Fleuri,,Colomiers,Uso Nevers,a9955246,8b15a375,True,,,,,,,16:00,23.0,15.0
6932591d,20230204,2023.0,d7c59c8c,Japan Rugby League One,c0d94fd9,NHK Spring Mitsuzawa Football Stadium,,Blackrams Tokyo,Yokohama Canon Eagles,31781a9e,86267089,True,,,,,,,16:00,34.0,13.0
b6f7c007,20220402,2022.0,2c3df351,Gallagher Prem,7498f3bd,cinch Stadium at Franklin's Gardens,Northampton,Northampton Saints,Bristol Rugby,895ae027,47d5fe17,True,True,True,,WWWWL,WWWWW,,16:00,39.0,22.0
f7fc955f,20231230,2023.0,2f0de05a,French Top 14,5846a1e5,Stade Mayol,Toulon,Toulon,Stade Francais Paris,30ad8a8a,247cd1a2,True,True,True,,WLWLW,LTWWL,,16:00,19.0,5.0
b323273d,20241206,2024.0,822142db,Pro D2,66c21833,Stade Marcel Volot,,Nice,Uso Nevers,6038c3ba,8b15a375,True,,,,,,,16:00,26.0,32.0
14357a98,20230422,2023.0,50e6935b,United Rugby Championship,261b17af,Principality Stadium,Cardiff,Dragons,Scarlets,973ef5cc,0e10c257,True,True,True,,WLWWL,LLWLL,,16:00,31.0,14.0
4cfb4e51,20230513,2023.0,0f8b619e,Sevens,90fa9588,Unknown,,Japan 7s Womens,Spain 7s Womens,e18ca4eb,e18ca4eb,True,,,,,,,16:00,5.0,33.0
b55efec7,20240323,2024.0,50e6935b,United Rugby Championship,7ec97161,DHL Stadium,Cape Town,Stormers,Edinburgh,f54be954,242b5b2e,True,True,True,,WWWWW,LLLWW,,16:00,43.0,21.0
da54cff1,20221218,2022.0,ee0c6883,European Rugby Champions Cup,7498f3bd,cinch Stadium at Franklin's Gardens,Northampton,Northampton Saints,Munster,895ae027,afe6fb82,True,True,True,,WWWWL,LLWWL,,16:00,6.0,17.0
c8c55b10,20230916,2023.0,622e1591,URBA Top 12,90fa9588,Unknown,,Belgrano AC,Newman,95aa31e1,39f4260d,True,False,,,LLWLL,WWWLW,,,,
cdecda78,20250906,2025.0,2f0de05a,Top 14,37fdb207,Stade Aime Giral,,Bayonne,Perpignan,fe2eda63,0120f1b3,True,,,,,,,14:30,19.0,26.0
5072d510,20250607,2025.0,2f0de05a,French Top 14,34119486,Stade Chaban-Delmas,Bordeaux,Bordeaux Begles,Vannes,f7e939a6,34149c5c,True,True,True,,LWWWL,LLLLW,,14:30,59.0,28.0
1ca6e1d0,20230429,2023.0,23df32a1,International Test Match,c6bdb8df,National Stadium Vasil Levski,Sofia,Bulgaria,Slovenia,6a1fbdf7,15d84e0e,True,False,True,,LWLLW,WWWLL,,,,
1c3000ec,20250118,2025.0,d7c59c8c,Japan Rugby League One,91ef3e1f,Edogawa Stadium,,Blackrams Tokyo,Kubota Spears,31781a9e,dad857c8,True,,,,,,,14:30,26.0,18.0
4c0c6c1b,20241221,2024.0,2f0de05a,French Top 14,31ba2047,Stade Pierre Fabre,Castres,Castres Olympique,Bordeaux Begles,a9650c97,f7e939a6,True,True,True,,WLWLW,LWWWL,,,,
719b1db1,20251205,2025.0,822142db,Pro D2,892859da,Stade Albert-Domec,,Carcassonne,Vannes,93d1e116,34149c5c,True,,,,,,,14:30,15.0,52.0
d1929537,20221008,2022.0,50e6935b,United Rugby Championship,b4d7acb3,RDS Arena,Dublin,Leinster,Sharks,1ebc0e7a,1b2d3d61,True,True,True,,WWWWW,WWLLW,,16:00,54.0,34.0
11c8bc7f,20250823,2025.0,b5e3c6bd,Women's Rugby World Cup,059580a0,CorpAcq Stadium,Salford,Scotland Women,Wales Women,9d4b9a14,b6319444,True,True,True,,LLWWL,LLLLL,,14:30,38.0,8.0
d8e59405,20240419,2024.0,50e6935b,United Rugby Championship,112f82d3,Affidea Stadium,Belfast,Ulster,Cardiff Blues,0aa2b3cc,79c81be4,True,True,True,,WWLLW,LWLWL,,16:00,19.0,17.0
